,count,organism_name
815,1247,bacteroidaceae
541000,1212,ruminococcaceae
9604,986,hominidae
186806,409,eubacteriaceae
186803,245,lachnospiraceae
31979,110,clostridiaceae
171550,82,rikenellaceae
31977,70,veillonellaceae
31953,54,bifidobacteriaceae
84107,31,coriobacteriaceae
543,23,enterobacteriaceae
135621,12,pseudomonadaceae
1300,9,streptococcaceae
33958,7,lactobacillaceae
75682,6,oxalobacteraceae
49546,5,flavobacteriaceae
194924,3,desulfovibrionaceae
186804,2,peptostreptococcaceae
433,1,acetobacteraceae
407032,1,nitrospinaceae
137,1,spirochaetaceae
